"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Len","yes",1,0,"1.69","-0.12","-0.12"
"2","A","Bre","yes",1,0,"1.24","0.18","0.06"
"3","H","Nan","yes",3,1,"2.25","-0.49","-0.43"
"4","A","Ang","yes",0,-2,"0.82","0.46","0.03"
"5","H","Rei","yes",0,-2,"2.28","-0.51","-0.48"
"6","A","Mar","yes",0,-2,"0.83","0.45","-0.03"
"7","H","Cle","yes",3,6,"2.23","-0.48","-0.51"
"8","A","Bor","yes",1,0,"1.31","0.13","-0.38"
"9","H","PSG","yes",3,2,"1.44","0.04","-0.34"
"10","A","Mtz","yes",3,3,"1.67","-0.10","-0.44"
"11","H","Str","yes",3,1,"2.03","-0.35","-0.79"
"12","A","Tro","yes",1,0,"1.14","0.24","-0.55"
"13","H","Lyo","yes",3,3,"2.22","-0.47","-1.02"
"14","H","Mtp","no",NA,NA,"2.20","-0.46","-1.47"
"15","A","Lor","no",NA,NA,"0.76","0.50","-0.98"
"16","H","Lil","no",NA,NA,"2.31","-0.53","-1.51"
"17","A","StE","no",NA,NA,"1.28","0.15","-1.35"
"18","H","Nic","no",NA,NA,"1.56","-0.03","-1.39"
"19","A","Mco","no",NA,NA,"0.91","0.40","-0.99"
"20","A","Len","no",NA,NA,"0.79","0.48","-0.51"
"21","H","Bor","no",NA,NA,"2.14","-0.42","-0.92"
"22","A","Cle","no",NA,NA,"1.05","0.30","-0.62"
"23","H","Bre","no",NA,NA,"2.17","-0.44","-1.05"
"24","A","PSG","no",NA,NA,"0.21","0.86","-0.19"
"25","H","Tro","no",NA,NA,"2.20","-0.46","-0.65"
"26","A","Mtp","no",NA,NA,"0.66","0.56","-0.09"
"27","H","Ang","no",NA,NA,"2.11","-0.40","-0.48"
"28","A","Lyo","no",NA,NA,"0.60","0.60","0.12"
"29","H","Mtz","no",NA,NA,"2.30","-0.53","-0.41"
"30","A","Nic","no",NA,NA,"0.82","0.46","0.05"
"31","A","Rei","no",NA,NA,"1.24","0.18","0.23"
"32","H","Mco","no",NA,NA,"2.12","-0.41","-0.18"
"33","A","Str","no",NA,NA,"0.86","0.43","0.25"
"34","H","Lor","no",NA,NA,"2.37","-0.57","-0.32"
"35","H","StE","no",NA,NA,"2.49","-0.65","-0.97"
"36","A","Nan","no",NA,NA,"0.74","0.51","-0.46"
"37","H","Mar","no",NA,NA,"1.62","-0.07","-0.54"
"38","A","Lil","no",NA,NA,"0.70","0.54","-0.00"
