"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name","deduction"
512,"Stade Brestois 29","Brest","SBR",NA,NA,0
516,"Olympique de Marseille","Marseille","OM",NA,NA,0
518,"Montpellier HSC","Montpellier","MON",NA,NA,0
521,"Lille OSC","Lille","LIL",NA,NA,0
522,"OGC Nice","Nice","NIC",NA,NA,0
523,"Olympique Lyonnais","Olympique Lyon","LYO",NA,NA,0
524,"Paris Saint-Germain FC","PSG","PSG",NA,NA,0
525,"FC Lorient","Lorient","FCL",NA,NA,0
526,"FC Girondins de Bordeaux","Bordeaux","BOR",NA,NA,0
527,"AS Saint-Étienne","Saint-Étienne","STE",NA,NA,0
528,"Dijon Football Côte d'Or","Dijon FCO","DFC",NA,NA,0
529,"Stade Rennais FC 1901","Stade Rennais","REN",NA,NA,0
532,"Angers SCO","Angers SCO","ANG",NA,NA,0
543,"FC Nantes","Nantes","NAN",NA,NA,0
545,"FC Metz","FC Metz","FCM",NA,NA,0
546,"Racing Club de Lens","RC Lens","RCL",NA,NA,0
547,"Stade de Reims","Stade de Reims","SDR",NA,NA,0
548,"AS Monaco FC","Monaco","ASM",NA,NA,0
556,"Nîmes Olympique","Nîmes Ol.","NÎM",NA,NA,0
576,"RC Strasbourg Alsace","Strasbourg","RCS",NA,NA,0
