team,teamId,playedGames,goalDifference,points,rank
Lille OSC,521,38,41,83,1
Paris Saint-Germain FC,524,38,58,82,2
AS Monaco FC,548,38,34,78,3
Olympique Lyonnais,523,38,38,76,4
Olympique de Marseille,516,38,7,60,5
Stade Rennais FC 1901,529,38,12,58,6
Racing Club de Lens,546,38,1,57,7
Montpellier HSC,518,38,-2,54,8
OGC Nice,522,38,-3,52,9
FC Metz,545,38,-4,47,10
AS Saint-Étienne,527,38,-12,46,11
FC Girondins de Bordeaux,526,38,-14,45,12
Angers SCO,532,38,-18,44,13
Stade de Reims,547,38,-8,42,14
RC Strasbourg Alsace,576,38,-9,42,15
FC Lorient,525,38,-18,42,16
Stade Brestois 29,512,38,-16,41,17
FC Nantes,543,38,-8,40,18
Nîmes Olympique,556,38,-31,35,19
Dijon Football Côte d'Or,528,38,-48,21,20
