"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Lil","Lille",38,41,83,1,1,38,2.18
"PSG","PSG",38,58,82,2,2,38,2.16
"Mco","Monaco",38,34,78,3,3,38,2.05
"Lyo","Lyon",38,38,76,4,4,38,2
"Mar","Marseille",38,7,60,5,5,38,1.58
"Ren","Rennes",38,12,58,6,6,38,1.53
"Len","Lens",38,1,57,7,7,38,1.5
"Mtp","Montpellier",38,-2,54,8,8,38,1.42
"Nic","Nice",38,-3,52,9,9,38,1.37
"Mtz","Metz",38,-4,47,10,10,38,1.24
"StE","Saint-Étienne",38,-12,46,11,11,38,1.21
"Bor","Bordeaux",38,-14,45,12,12,38,1.18
"Ang","Angers",38,-18,44,13,13,38,1.16
"Rei","Reims",38,-8,42,14,14,38,1.11
"Str","Strasbourg",38,-9,42,15,15,38,1.11
"Lor","Lorient",38,-18,42,16,16,38,1.11
"Bre","Brest",38,-16,41,17,17,38,1.08
"Nan","Nantes",38,-8,40,18,18,38,1.05
"Nim","Nîmes",38,-31,35,19,19,38,0.92
"Dij","Dijon",38,-48,21,20,20,38,0.55
